CÓDIGO OACI,TIPO,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,RAMPA(S) DE APROXIMAÇÃO,FORMATO DA ÁREA DE POUSO,DIMENSÕES,RESISTÊNCIA,SUPERFÍCIE,p1,p2,p3,p4,PORTARIAS,,,,Portaria Nº 291/2016 ,Portaria Nº 2007/2014 e alterações ,OBSERVAÇÃO
SBJP,AERÓDROMO,PRESIDENTE CASTRO PINTO,JOÃO PESSOA,PB,7° 8' 54'' S,34° 57' 1'' W,66 m,VFR Diurno/Noturno e IFR Diurno/Noturno,16/34,2515 m,45 m,PCN 42/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1203,0,0,0,PA2015-1203,,,,AP-2,2ª,-
SBJR,AERÓDROMO,JACAREPAGUÁ,RIO DE JANEIRO,RJ,22° 59' 15'' S,43° 22' 12'' W,3 m,VFR Diurno/Noturno,2/20,900 m,30 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2009-0847,0,0,0,PA2009-0847,,,,AP-0,2ª,-
SBJU,AERÓDROMO,ORLANDO BEZERRA DE MENEZES,JUAZEIRO DO NORTE,CE,7° 13' 6'' S,39° 16' 18'' W,424 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,1800 m,45 m,PCN 32/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2010-2018,0,0,0,PA2010-2018,,,,AP-1,2ª,-
SBJV,AERÓDROMO,LAURO CARNEIRO DE LOYOLA,JOINVILLE,SC,26° 13' 23'' S,48° 47' 52'' W,4 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,1640 m,45 m,PCN 33/F/B/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-0311,0,0,0,PA2014-0311,,,,AP-1,2ª,-
SBKG,AERÓDROMO,PRESIDENTE JOÃO SUASSUNA,CAMPINA GRANDE,PB,7° 16' 9'' S,35° 53' 42'' W,502 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,1600 m,42 m,PCN 50/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0575,0,0,0,PA2016-0575,,,,AP-1,2ª,-
SBKP,AERÓDROMO,VIRACOPOS,CAMPINAS,SP,23° 0' 25'' S,47° 8' 4'' W,661 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,3240 m,45 m,PCN 57/F/A/W/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1991-0091,0,0,0,PD1991-0091,,,,AP-3,-,-
SBLE,AERÓDROMO,HORÁCIO DE MATTOS,LENÇÓIS,BA,12° 28' 56'' S,41° 16' 37'' W,506 m,VFR Diurno/Noturno,14/32,2082 m,30 m,PCN 44/R/A/W/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2870,0,0,0,PA2015-2870,,,,AP-1,3ª,-
SBLJ,AERÓDROMO,LAGES,LAGES,SC,27° 46' 58'' S,50° 16' 56'' W,934 m,VFR Diurno/Noturno e IFR Diurno/Noturno,16/34,1530 m,30 m,PCN 17/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1992-0156,0,0,0,PD1992-0156,,,,AP-0,4ª,-
SBLO,AERÓDROMO,GOVERNADOR JOSÉ RICHA,LONDRINA,PR,23° 19' 49'' S,51° 8' 12'' W,569 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,2102 m,45 m,PCN 43/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1978-0104,PD1981-0225,PA2011-2165,0,PD1978-0104,PD1981-0225,PA2011-2165,,AP-2,2ª,-
SBLP,AERÓDROMO,BOM JESUS DA LAPA,BOM JESUS DA LAPA,BA,13° 15' 41'' S,43° 24' 27'' W,443 m,VFR Diurno/Noturno e IFR Diurno,18/36,1211 m,30 m,PCN 9/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AP-0,4ª,-
SBMA,AERÓDROMO,JOÃO CORREA DA ROCHA,MARABÁ,PA,5° 22' 4'' S,49° 8' 18'' W,109 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,2000 m,45 m,PCN 40/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1972-0067,PA2013-2288,0,0,PD1972-0067,PA2013-2288,,,AP-1,2ª,-
SBMD,AERÓDROMO,MONTE DOURADO,ALMEIRIM,PA,0° 53' 23'' S,52° 36' 8'' W,206 m,VFR Diurno/Noturno e IFR Diurno/Noturno,8/26,1800 m,30 m,PCN 25/F/B/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1994-0548,0,0,0,PD1994-0548,,,,AP-0,3ª,-
SBME,AERÓDROMO,MACAÉ,MACAÉ,RJ,22° 20' 45'' S,41° 45' 50'' W,2 m,VFR Diurno/Noturno e IFR Diurno/Noturno,6/24,1200 m,30 m,PCN 8/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2006-0236,0,0,0,PA2006-0236,,,,AP-0,2ª,-
SBMG,AERÓDROMO,SÍLVIO NAME JÚNIOR,MARINGÁ,PR,23° 28' 46'' S,52° 0' 44'' W,545 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2100 m,45 m,PCN 41/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-0606,0,0,0,PA2011-0606,,,,AP-2,2ª,-
SBMK,AERÓDROMO,MÁRIO RIBEIRO,MONTES CLAROS,MG,16° 42' 22'' S,43° 49' 19'' W,668 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,2100 m,45 m,PCN 34/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1719,0,0,0,PA2014-1719,,,,AP-1,2ª,-
SBML,AERÓDROMO,FRANK MILOYE MILENKOVICH,MARÍLIA,SP,22° 11' 44'' S,49° 55' 37'' W,647 m,VFR Diurno e IFR Diurno/Noturno,3/21,1700 m,35 m,PCN 35/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1975-0033,0,0,0,PD1975-0033,,,,AP-1,3ª,-
SBMO,AERÓDROMO,ZUMBI DOS PALMARES,MACEIÓ,AL,9° 31' 2'' S,35° 47' 1'' W,118 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,2602 m,45 m,PCN 46/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2006-0362,0,0,0,PD2006-0362,,,,AP-2,1ª,-
SBMQ,AERÓDROMO,ALBERTO ALCOLUMBRE,MACAPÁ,AP,0° 3' 3'' N,51° 4' 13'' W,17 m,VFR Diurno/Noturno e IFR Diurno/Noturno,8/26,1800 m,45 m,PCN 48/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1962-0082,PA2013-2289,0,0,PD1962-0082,PA2013-2289,,,AP-2,2ª,-
SBMS,AERÓDROMO,DIX-SEPT ROSADO,MOSSORÓ,RN,5° 11' 45'' S,37° 21' 42'' W,23 m,VFR Diurno e IFR Diurno/Noturno,5/23,2000 m,30 m,PCN 31/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-0163,0,0,0,PA2011-0163,,,,AP-0,4ª,-
SBMT,AERÓDROMO,CAMPO DE MARTE,SÃO PAULO,SP,23° 30' 24'' S,46° 38' 2'' W,722 m,VFR Diurno/Noturno,12/30,1600 m,45 m,PCN 16/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,11  28,quadrado,25 m x25 m,4 t,Paralelepípedo,PA2015-2143,0,0,0,PA2015-2143,,,,AP-0,3ª,-
SBMY,AERÓDROMO,MANICORÉ,MANICORÉ,AM,5° 49' 1'' S,61° 17' 2'' W,53 m,VFR Diurno,5/23,1265 m,30 m,PCN 12/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-1706,0,0,0,PA2011-1706,,,,AP-1,-,-
SBNF,AERÓDROMO,MINISTRO VICTOR KONDER,NAVEGANTES,SC,26° 52' 43'' S,48° 39' 3'' W,5 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,1701 m,45 m,PCN 33/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-3372,0,0,0,PA2013-3372,,,,AP-2,2ª,-
SBNM,AERÓDROMO,SANTO ÂNGELO,SANTO ÂNGELO,RS,28° 16' 56'' S,54° 10' 8'' W,322 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,1340 m,30 m,PCN 6/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1997-0762,0,0,0,PD1997-0762,,,,AP-0,4ª,-
SBOI,AERÓDROMO,OIAPOQUE,OIAPOQUE,AP,3° 51' 41'' N,51° 47' 46'' W,19 m,VFR Diurno e IFR Diurno,3/21,1200 m,30 m,PCN 10/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1984-0039,PD1993-0516,PD1993-0602,0,PD1984-0039,PD1993-0516,PD1993-0602,,AD,-,-
SBPA,AERÓDROMO,SALGADO FILHO,PORTO ALEGRE,RS,29° 59' 38'' S,51° 10' 16'' W,3 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,2280 m,45 m,PCN 74/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1446,0,0,0,PA2014-1446,,,,AP-3,1ª,-
SBPB,AERÓDROMO,AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO,PARNAÍBA,PI,2° 53' 38'' S,41° 43' 49'' W,5 m,VFR Diurno/Noturno,10/28,2500 m,45 m,PCN 52/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-1946,0,0,0,PA2013-1946,,,,AP-0,3ª,-
SBPC,AERÓDROMO,EMBAIXADOR WALTHER MOREIRA SALLES,POÇOS DE CALDAS,MG,21° 50' 16'' S,46° 33' 58'' W,1260 m,VFR Diurno/Noturno e IFR Diurno,9/27,1515 m,30 m,PCN 14/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0400E,0,0,0,PD1998-0400E,,,,AP-0,4ª,-
SBPF,AERÓDROMO,LAURO KURTZ,PASSO FUNDO,RS,28° 14' 43'' S,52° 19' 43'' W,724 m,VFR Diurno/Noturno e IFR Diurno/Noturno,8/26,1700 m,30 m,PCN 29/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-3197,0,0,0,PA2013-3197,,,,AP-1,4ª,-
SBPJ,AERÓDROMO,BRIGADEIRO LYSIAS RODRIGUES,PALMAS,TO,10° 17' 24'' S,48° 21' 28'' W,236 m,VFR Diurno/Noturno e IFR Diurno/Noturno,14/32,2500 m,45 m,PCN 48/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-0232,0,0,0,PA2011-0232,,,,AP-2,2ª,-
SBPK,AERÓDROMO,PELOTAS,PELOTAS,RS,31° 42' 58'' S,52° 19' 52'' W,18 m,VFR Diurno/Noturno e IFR Diurno/Noturno,6/24,1980 m,42 m,PCN 24/R/B/X/T,Asfalto,15/24,1230 m,38 m,"5700 kg / 0,62 MPa",Terra,-,-,-,-,-,-,-,-,-,-,PD1980-0178,0,0,0,PD1980-0178,,,,AP-1,2ª,-
SBPL,AERÓDROMO,SENADOR NILO COELHO,PETROLINA,PE,9° 22' 3'' S,40° 33' 49'' W,384 m,VFR Diurno/Noturno e IFR Diurno/Noturno,13/31,3250 m,45 m,PCN 80/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-1907,0,0,0,PA2011-1907,,,,AP-1,2ª,-
SBPN,AERÓDROMO,PORTO NACIONAL,PORTO NACIONAL,TO,10° 43' 1'' S,48° 24' 1'' W,265 m,VFR Diurno/Noturno e IFR Diurno,5/23,1700 m,30 m,PCN 27/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1990-0307,PA2012-1476,0,0,PD1990-0307,PA2012-1476,,,AP-0,4ª,-
SBPP,AERÓDROMO,PONTA PORÃ,PONTA PORÃ,MS,22° 32' 59'' S,55° 42' 9'' W,657 m,VFR Diurno e IFR Diurno/Noturno,4/22,2000 m,45 m,PCN 31/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-1185,0,0,0,PA2013-1185,,,,AP-0,3ª,-
SBPR,AERÓDROMO,CARLOS PRATES,BELO HORIZONTE,MG,19° 54' 33'' S,43° 59' 21'' W,928 m,VFR Diurno,9/27,868 m,18 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-2499,0,0,0,PA2014-2499,,,,AP-0,4ª,-
SBPS,AERÓDROMO,PORTO SEGURO,PORTO SEGURO,BA,16° 26' 17'' S,39° 4' 40'' W,51 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2000 m,45 m,PCN 44/R/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1993-0152,PD1994-0015,PD1998-0299,0,PD1993-0152,PD1994-0015,PD1998-0299,,AP-2,2ª,-
SBPV,AERÓDROMO,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,PORTO VELHO,RO,8° 42' 49'' S,63° 54' 10'' W,88 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,2400 m,45 m,PCN 41/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1985-0080,PD1985-0091,0,0,PD1985-0080,PD1985-0091,,,AP-2,2ª,-
SBQV,AERÓDROMO,PEDRO OTACÍLIO FIGUEIREDO,VITÓRIA DA CONQUISTA,BA,14° 51' 49'' S,40° 51' 47'' W,915 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,1775 m,30 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1121,0,0,0,PA2015-1121,,,,AP-1,2ª,-
SBRB,AERÓDROMO,PLÁCIDO DE CASTRO,SENA MADUREIRA,AC,9° 52' 8'' S,67° 53' 53'' W,193 m,VFR Diurno/Noturno e IFR Diurno/Noturno,6/24,2158 m,45 m,PCN 78/F/D/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2007-0843,0,0,0,PA2007-0843,,,,AP-1,2ª,-
SBRF,AERÓDROMO,GUARARAPES - GILBERTO FREYRE,RECIFE,PE,8° 7' 35'' S,34° 55' 22'' W,10 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,3007 m,45 m,PCN 63/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-1297,0,0,0,PA2013-1297,,,,AP-3,1ª,-
SBRJ,AERÓDROMO,SANTOS DUMONT,RIO DE JANEIRO,RJ,22° 54' 36'' S,43° 9' 45'' W,3 m,VFR Diurno/Noturno e IFR Diurno/Noturno,2R/20L,1323 m,42 m,PCN 65/F/B/X/T,Asfalto,2L/20R,1260 m,30 m,PCN 39/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2014-1562,0,0,0,PA2014-1562,,,,AP-3,1ª,-
SBRP,AERÓDROMO,LEITE LOPES,RIBEIRÃO PRETO,SP,21° 8' 11'' S,47° 46' 36'' W,550 m,VFR Diurno/Noturno e IFR Diurno/Noturno,18/36,2100 m,45 m,PCN 26/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1983-0028,PD1991-0240,0,0,PD1983-0028,PD1991-0240,,,AP-2,2ª,-
SBSG,AERÓDROMO,GOVERNADOR ALUIZIO ALVES,SÃO GONÇALO DO AMARANTE,RN,5° 46' 8'' S,35° 21' 59'' W,83 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,3000 m,60 m,PCN 70/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1256,0,0,0,PA2014-1256,,,,AP-2,-,-
SBSJ,AERÓDROMO,PROFESSOR URBANO ERNESTO STUMPF,SÃO JOSÉ DOS CAMPOS,SP,23° 13' 44'' S,45° 52' 16'' W,646 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,2676 m,45 m,PCN 71/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1988-0213,0,0,0,PD1988-0213,,,,AP-1,2ª,-
SBSL,AERÓDROMO,MARECHAL CUNHA MACHADO,SÃO LUÍS,MA,2° 35' 13'' S,44° 14' 10'' W,54 m,VFR Diurno/Noturno e IFR Diurno/Noturno,6/24,2385 m,45 m,PCN 52/F/B/X/T,Asfalto,9/27,1464 m,45 m,PCN 39/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2015-2239,0,0,0,PA2015-2239,,,,AP-2,1ª,-
SBSM,AERÓDROMO,SANTA MARIA,SANTA MARIA,RS,29° 42' 39'' S,53° 41' 32'' W,88 m,VFR Diurno/Noturno e IFR Diurno/Noturno,11/29,2700 m,45 m,PCN 20/R/B/X/T,Concreto,2/20,1400 m,30 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,PD1981-0204,0,0,0,PD1981-0204,,,,AP-1,2ª,-
SBSN,AERÓDROMO,MAESTRO WILSON FONSECA,SANTARÉM,PA,2° 25' 29'' S,54° 47' 9'' W,60 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,2400 m,45 m,PCN 48/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1975-0038,PD1993-0516,0,0,PD1975-0038,PD1993-0516,,,AP-1,2ª,-
SBSP,AERÓDROMO,CONGONHAS,SÃO PAULO,SP,23° 37' 34'' S,46° 39' 23'' W,802 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17R/35L,1940 m,45 m,PCN 50/F/B/X/T,Asfalto,17L/35R,1495 m,45 m,PCN 38/F/B/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2014-2980,0,0,0,PA2014-2980,,,,AP-3,1ª,-
SBSR,AERÓDROMO,PROFESSOR ERIBERTO MANOEL REINO,SÃO JOSÉ DO RIO PRETO,SP,20° 48' 58'' S,49° 24' 17'' W,543 m,VFR Diurno/Noturno e IFR Diurno/Noturno,7/25,1640 m,35 m,PCN 35/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1983-0102,PD1992-0235,0,0,PD1983-0102,PD1992-0235,,,AP-2,2ª,-
SBSV,AERÓDROMO,DEPUTADO LUÍS EDUARDO MAGALHÃES,SALVADOR,BA,12° 54' 31'' S,38° 19' 21'' W,20 m,VFR Diurno/Noturno e IFR Diurno/Noturno,10/28,3003 m,45 m,PCN 104/F/B/X/T,Asfalto,17/35,1518 m,45 m,PCN 41/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,PA2014-1258,0,0,0,PA2014-1258,,,,AP-3,1ª,-
SBTB,AERÓDROMO,TROMBETAS,ORIXIMINÁ,PA,1° 29' 4'' S,56° 23' 57'' W,87 m,VFR Diurno/Noturno e IFR Diurno/Noturno,9/27,1600 m,30 m,PCN 26/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1989-0025,PD1989-0029,0,0,PD1989-0025,PD1989-0029,,,AP-1,-,-
SBTD,AERÓDROMO,LUÍS DAL CANALLE FILHO,TOLEDO,PR,24° 41' 7'' S,53° 41' 48'' W,562 m,VFR Diurno/Noturno e IFR Diurno/Noturno,1/19,1670 m,30 m,PCN 33/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0747,PA2015-0618,0,0,PD1999-0747,PA2015-0618,,,AP-0,4ª,-
SBTE,AERÓDROMO,SENADOR PETRÔNIO PORTELLA,TERESINA,PI,5° 3' 38'' S,42° 49' 28'' W,67 m,VFR Diurno/Noturno e IFR Diurno/Noturno,2/20,2200 m,45 m,PCN 46/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-0532,0,0,0,PA2015-0532,,,,AP-2,2ª,-
SBTF,AERÓDROMO,TEFÉ,TEFÉ,AM,3° 22' 49'' S,64° 43' 31'' W,57 m,VFR Diurno/Noturno e IFR Diurno/Noturno,15/33,2200 m,45 m,PCN 29/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1990-0323,PA2012-0518,0,0,PD1990-0323,PA2012-0518,,,AP-1,2ª,-
SBTG,AERÓDROMO,TRÊS LAGOAS,TRÊS LAGOAS,MS,20° 45' 5'' S,51° 40' 49'' W,324 m,VFR Diurno/Noturno,7/25,2000 m,30 m,PCN 33/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1220,0,0,0,PA2014-1220,,,,AP-1,3ª,-
SBTK,AERÓDROMO,TARAUACÁ,TARAUACÁ,AC,8° 9' 17'' S,70° 46' 58'' W,197 m,VFR Diurno,14/32,1130 m,14 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2006-0657,0,0,0,PA2006-0657,,,,AD,-,-
SBTR,AERÓDROMO,TORRES,TORRES,RS,29° 24' 36'' S,49° 48' 37'' W,8 m,VFR Diurno/Noturno e IFR Diurno/Noturno,5/23,1500 m,30 m,PCN 32/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2004-1234,0,0,0,PD2004-1234,,,,AD,-,-
SBTT,AERÓDROMO,TABATINGA,TABATINGA,AM,4° 15' 2'' S,69° 56' 16'' W,85 m,VFR Diurno/Noturno e IFR Diurno/Noturno,12/30,2150 m,45 m,PCN 33/F/D/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1985-0203,PD1990-0325,0,0,PD1985-0203,PD1990-0325,,,AP-1,2ª,-
SBTU,AERÓDROMO,TUCURUÍ,TUCURUÍ,PA,3° 46' 37'' S,49° 43' 11'' W,253 m,VFR Diurno/Noturno e IFR Diurno/Noturno,2/20,2000 m,45 m,PCN 33/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1980-0105,PD1993-0516,0,0,PD1980-0105,PD1993-0516,,,AD,-,-
SBUA,AERÓDROMO,SÃO GABRIEL DA CACHOEIRA,SÃO GABRIEL DA CACHOEIRA,AM,0° 8' 53'' S,66° 59' 9'' W,76 m,VFR Diurno/Noturno e IFR Diurno/Noturno,5/23,2600 m,45 m,PCN 47/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1981-0110,0,0,0,PD1981-0110,,,,AP-1,-,-
SBUF,AERÓDROMO,PAULO AFONSO,PAULO AFONSO,BA,9° 24' 4'' S,38° 15' 4'' W,269 m,VFR Diurno/Noturno e IFR Diurno,14/32,1800 m,45 m,PCN 35/F/C/X/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1980-0083,PA2015-2255,0,0,PD1980-0083,PA2015-2255,,,AP-1,3ª,-
SBUG,AERÓDROMO,RUBEM BERTA,URUGUAIANA,RS,29° 47' 0'' S,57° 2' 13'' W,78 m,VFR Diurno/Noturno e IFR Diurno/Noturno,9/27,1500 m,30 m,PCN 18/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-0388,0,0,0,PA2015-0388,,,,AP-1,3ª,-
SBUL,AERÓDROMO,TEN CEL AVIADOR CÉSAR BOMBONATO,UBERLÂNDIA,MG,18° 53' 1'' S,48° 13' 31'' W,943 m,VFR Diurno/Noturno e IFR Diurno/Noturno,4/22,2100 m,45 m,PCN 43/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-0465,0,0,0,PA2014-0465,,,,AP-2,2ª,-
SBUR,AERÓDROMO,MARIO DE ALMEIDA FRANCO,UBERABA,MG,19° 45' 53'' S,47° 57' 58'' W,809 m,VFR Diurno/Noturno e IFR Diurno/Noturno,17/35,1759 m,45 m,PCN 32/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-1597,0,0,0,PA2015-1597,,,,AP-1,2ª,-
SBVG,AERÓDROMO,MAJOR BRIGADEIRO TROMPOWSKY,VARGINHA,MG,21° 35' 20'' S,45° 28' 24'' W,922 m,VFR Diurno e IFR Diurno/Noturno,4/22,1500 m,30 m,PCN 26/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1984-0188,PA2014-0772,0,0,PD1984-0188,PA2014-0772,,,AP-0,4ª,-
SBVH,AERÓDROMO,VILHENA,VILHENA,RO,12° 41' 39'' S,60° 5' 50'' W,615 m,VFR Diurno/Noturno e IFR Diurno/Noturno,3/21,2600 m,30 m,PCN 30/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-0819,0,0,0,PA2015-0819,,,,AP-1,4ª,-
SBVT,AERÓDROMO,EURICO DE AGUIAR SALLES,VITÓRIA,ES,20° 15' 29'' S,40° 17' 11'' W,3 m,VFR Diurno/Noturno e IFR Diurno/Noturno,5/23,1750 m,45 m,PCN 45/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1002,0,0,0,PA2014-1002,,,,AP-2,2ª,-
SBZM,AERÓDROMO,REGIONAL DA ZONA DA MATA,GOIANÁ,MG,21° 30' 47'' S,43° 10' 23'' W,411 m,VFR Diurno e IFR Diurno/Noturno,8/26,2525 m,45 m,PCN 66/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-1807,0,0,0,PA2011-1807,,,,AP-1,2ª,-
SDAA,AERÓDROMO,ARARAS,ARARAS,SP,22° 20' 13'' S,47° 21' 30'' W,685 m,VFR Diurno,12/30,1150 m,30 m,PCN 6/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1995-0593,0,0,0,PD1995-0593,,,,AD,-,-
SDAD,AERÓDROMO,EVERALDO MORAES BARRETO,ADAMANTINA,SP,21° 41' 46'' S,51° 5' 47'' W,425 m,VFR Diurno,9/27,1150 m,20 m,"5000 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1995-0542,0,0,0,PD1995-0542,,,,AD,-,-
